sku,mfgn,qty,qtynj,qtyfl,price,map,mrp
70217,FTR41,0,0,0,10.29,,
70218,SPR-8-AM,0,0,0,331.31,,
70228,P90006,0,0,0,27.14,,
70229,P90007,0,0,0,27.14,,
70230,RC01C,1,0,1,12.43,,
70232,SET0003,0,0,0,27.43,,
70234,SET0187,0,0,0,18.13,,
70235,SP0037,0,0,0,3.08,,
70238,HS37N,0,0,0,23.64,,
70239,SP0262,0,0,0,1.83,,
70242,P100083,0,0,0,26.43,,
70243,P100087,7,3,4,26.67,,
70245,SP0288,0,0,0,2.03,,
70251,SP0428,0,0,0,2.28,,
70254,SP0468,0,0,0,9.23,,
70255,SP0474,0,0,0,1.86,,
70256,RS100,2,2,0,39.99,,
70257,SP0484,0,0,0,5.38,,
70258,SP0622,3,3,0,3.45,,
70259,P100807,0,0,0,93.57,,
70261,SP0708,0,0,0,5.38,,
70262,SP0717,0,0,0,7.69,,
70263,P101526,0,0,0,45.00,,
70264,SP0721,0,0,0,5.38,,
70265,P101543,0,0,0,23.07,,
70266,SP0722,0,0,0,6.92,,
70267,SP0740,0,0,0,5.38,,
70268,SP0846,0,0,0,8.46,,
70269,SP0871,0,0,0,6.15,,
70270,SP0878,0,0,0,8.46,,
70275,SP4155,0,0,0,36.00,,
70276,US001,0,0,0,10.38,,
70277,US002,0,0,0,10.38,,
70279,US003,4,0,4,11.08,,
70280,US004,0,0,0,5.38,,
70282,ZE050,0,0,0,15.38,,
70283,ZE125,0,0,0,15.38,,
70284,ZE160,0,0,0,15.38,,
70285,ZE200,0,0,0,15.38,,
70286,P101550,1,0,1,47.14,,
70287,P102837,0,0,0,24.29,,
70288,ZE300,0,0,0,16.00,,
70289,ZE500,0,0,0,17.31,,
70290,P104704,4,0,4,20.00,,
70291,P104750,0,0,0,43.06,,
70292,P104897,3,0,3,40.00,,
70293,P90003,0,0,0,35.00,,
70294,P90004,0,0,0,35.00,,
70295,P90005,1,0,1,35.71,,
70298,SPR-8-RM,2,1,1,314.44,,
70299,1061,3,0,3,171.21,,
70300,500620,10,9,1,409.85,,
70301,500621,10,8,2,444.76,,
70340,55106100,2,2,0,547.41,,
70352,570-002,0,0,0,106.83,,
70363,ZDIGSTN,5,3,2,146.96,,
70373,MVP-J-G-XL,0,0,0,175.50,,
70376,RC8812VEDC,0,0,0,1575.29,2142.40,
70377,FBNRP0140FR0A00,0,0,0,171.57,,
70378,FBNRP0250FR0A00,0,0,0,215.67,,
70379,FBNRP0300FR0A00,0,0,0,278.88,,
70380,FBNRP0500FR0A00,0,0,0,412.65,,
70381,FBNRP0700FR0A00,0,0,0,957.60,,
70383,FBNRP1100FR0A00,0,0,0,1265.25,,
70384,FBNRP1200FR0A00,0,0,0,1526.41,,
70411,41011,0,0,0,24.86,,
70417,28522000,0,0,0,655.40,,
70418,70405080,0,0,0,42.55,,
70419,540-0000-7,0,0,0,21.65,,
70420,540-0100-7,2,2,0,21.65,,
70422,540-0101-7,1,0,1,21.65,,
70432,2362001,12,12,0,6.00,,
70435,119510,0,0,0,664.61,,
70436,119910,0,0,0,664.61,,
70439,010-12770-00,15,2,13,22.49,,
70440,SHC-29,12,4,8,10.40,,
70441,165T-50/200-SS260,1,0,1,2666.67,,
70442,165T-50/200-TM260,1,1,0,2044.44,,
70443,165T/265LH-PM488,0,0,0,3111.11,,
70450,322313,2,2,0,345.00,551.99,
70457,LTB1,4,2,2,283.25,,
70463,120313,0,0,0,489.25,782.79,
70468,980503221,6,0,6,26.58,,
70478,OCTOIL1USQ,11,6,5,14.24,,
70495,GK1512,6,4,2,395.35,,
70514,010-12719-00,21,14,7,18.74,,
70521,"GB44 0101",1,0,1,122.37,,
70522,"GB150 0100",3,3,0,126.32,,
70523,"BGR20 0101",0,0,0,131.59,,
70525,STC1000301,4,3,1,41.67,,
70529,92306,95,59,36,148.36,196.76,
70543,RC8824V,0,0,0,1482.32,1944.80,
70550,010-12381-00,18,6,12,15.16,,
70552,IRID-BM-9575PD,0,0,0,815.22,,
70566,88611-4,0,0,0,105.96,177.99,
70567,88617-5,0,0,0,52.98,75.99,
70573,90122,2,2,0,190.00,303.99,
70574,90144,0,0,0,190.00,303.99,
70582,88619,0,0,0,95.10,134.99,
70584,2060366,4,3,1,73.69,,
70587,PCHE,0,0,0,17.65,25.99,
70591,1196,4,4,0,29.99,,
70592,1137,0,0,0,16.74,,
70593,1190,28,20,8,15.01,,
70594,1102,16,16,0,11.16,,
70600,RF41300,6,4,2,49.95,76.42,
70601,RF41310,0,0,0,54.95,84.07,
70602,RF41171,0,0,0,29.44,45.05,
70603,RF41500,0,0,0,31.40,48.03,
70604,RF41510,0,0,0,33.53,51.31,
70605,RF41520,0,0,0,66.37,101.55,
70606,RF41530,7,4,3,68.51,104.82,
70607,RF41811,0,0,0,52.81,80.80,
70608,RF41821,0,0,0,46.67,71.40,
70609,RF41831,0,0,0,55.65,85.16,
70611,RF40101,0,0,0,16.05,24.56,
70612,RF40100HL,0,0,0,33.72,51.58,
70613,RF40110,0,0,0,26.04,39.84,
70614,RF40111,0,0,0,22.48,34.39,
70615,RF40171,6,3,3,33.72,51.58,
70616,RF40200,4,2,2,44.25,67.69,
70617,RF40210,0,0,0,47.81,73.15,
70618,RF40300,0,0,0,54.23,82.98,
70619,RF40310,0,0,0,59.95,91.72,
70620,RF40500,0,0,0,35.68,54.59,
70621,RF40510,0,0,0,38.53,58.95,
70622,RF40520,0,0,0,58.52,89.53,
70623,RF40530,6,2,4,60.65,92.80,
70624,RF45130,11,7,4,59.95,91.72,
70625,RF45140,0,0,0,29.98,45.85,
70626,RF45151,4,2,2,19.98,30.56,
70630,545513,2,0,2,450.00,719.99,
70636,245213,0,0,0,359.37,574.99,
70660,R70561,3,2,1,42.60,,
70661,LLB-26KC-21-00,0,0,0,11.08,,
70662,LLB-26KW-21-00,0,0,0,11.08,,
70670,90519,0,0,0,33.44,,
70671,91109,9,5,4,10.13,,
70672,13002,3,0,3,18.99,,
70674,544613,0,0,0,450.00,719.99,
70679,RF51111,0,0,0,30.20,46.76,
70680,RF51140,5,2,3,30.68,46.94,
70681,RF51151,0,0,0,33.31,50.96,
70682,RF51171,0,0,0,32.02,48.99,
70683,RF51200,6,3,3,46.58,71.27,
70684,RF51210,0,0,0,57.78,88.40,
70685,RF51300,6,3,3,66.11,101.15,
70686,RF51500,0,0,0,40.68,62.23,
70687,RF51510,5,2,3,44.96,68.78,
70688,RF51530,4,2,2,80.80,123.63,
70690,209-1268-00,2,2,0,63.20,,
70691,118510,0,0,0,582.56,,
70692,DT820PV-235-N2,5,2,3,284.90,,
70701,RF56110,0,0,0,54.23,82.98,
70702,RF56120,0,0,0,99.73,152.58,
70703,EC-HP-DB-3G/4G,1,1,0,2000.00,2966.00,
70704,RF56130,0,0,0,105.00,160.65,
70705,RF56151,0,0,0,50.95,77.95,
70706,RF56151A,0,0,0,50.95,77.95,
70708,RF56510,4,2,2,59.20,90.57,
70720,88617,0,0,0,12.21,,
70721,88618,0,0,0,12.21,,
70729,199114,0,0,0,41.15,,
70730,303SSEL-BXPK,0,0,0,62.30,,
70733,000-154-025,0,0,0,181.82,,
70738,S-0601,0,0,0,241.95,,
70739,S-0600,0,0,0,178.66,,
70740,60756,0,0,0,43.43,,
70741,60748,0,0,0,15.26,,
70742,60750,4,2,2,18.04,,
70743,60752,3,1,2,23.43,,
70744,60754,0,0,0,32.73,,
70745,6147,1,1,0,28.00,,
70746,6169,0,0,0,26.09,,
70747,S-5001,0,0,0,8.59,,
70748,S-5001B,0,0,0,10.25,,
70749,S-5002,0,0,0,12.29,,
70750,S-5002B,0,0,0,15.51,,
70751,"CS 02902",49,27,22,3.26,5.95,
70752,S-5003,0,0,0,14.32,,
70753,S-5003B,3,3,0,18.11,,
70754,"CS 02908",6,5,1,14.79,20.95,
70755,6170,3,2,1,27.65,,
70756,S-5010,3,3,0,20.95,,
70757,S-5011,4,2,2,33.18,,
70767,992-35,1,1,0,127.50,,170.00
70769,119010,0,0,0,664.61,,
70770,F16-0039,15,3,12,27.53,,
70772,16023,2,2,0,22.99,,
70777,49012,5,2,3,21.25,33.99,
70778,261113,0,0,0,135.62,216.99,
70781,32834,8,5,3,113.29,,
70783,RF20141,1,1,0,13.56,20.73,
70784,A80309,0,0,0,55.39,,
70785,A80369,0,0,0,79.16,,
70786,RF20281,0,0,0,23.54,36.02,
70787,RF20284,0,0,0,17.12,26.19,
70789,RF20184,0,0,0,12.48,,
70790,RF20174,0,0,0,24.26,37.11,
70791,RF20175,0,0,0,45.12,69.04,
