available,category,desc1,desc2,itemnumber,manufacturer,mfgpnumber,msrp,price1,price2,price3,qty1,qty2,qty3,upc,weight,serialized,mapprice
"3","INSECT REPELLANT","ARB BEN'S CLOTHING/GEAR INSECT","REPELLENT PERMETHRIN 6OZ SPRAY","00067600","ARB","00067600","8.49","4.90","","","1","","","044224076007","0.500","NO","8.49"
"0","INSECT REPELLANT","ARB BEN'S INSECT REPELLENT","PERMETHRIN CLOTHING/GEAR 24OZ","00067601","ARB","00067601","17.99","10.61","","","1","","","044224076014","1.800","NO","17.99"
"2","SIGHTS GUN/BOW","ANSCHUTZ SIGHT SET COMPLETE","FOR TARGET RIFLES","000934","Anschutz","000934","375","350.95","","","1","","","4046654009347","0.510","NO",""
"8","SNAP CAPS","CARLSONS SNAP CAP 20GA","PLASTIC 2PK","00098","Carlson","00098","13.5","7.99","","","1","","","723189000981","0.150","NO","11.49"
"11","SNAP CAPS","CARLSONS SNAP CAP 12GA","PLASTIC 2PK","00099","Carlson","00099","13.5","7.99","","","1","","","723189000998","0.150","NO","11.49"
"31","HAMMER EXTENSIONS","CARLSONS HAMMER EXPANDER BLUED","","00110","Carlson","00110","18.5","10.18","","","1","","","723189001100","0.075","NO","15.99"
"8","HAMMER EXTENSIONS","CARLSONS HAMMER EXPANDER","SILVER","00111","Carlson","00111","18.5","10.18","","","1","","","723189001117","0.070","NO","15.99"
"38","HAMMER EXTENSIONS","CARLSONS HAMMER EXPANDER HENRY","BIG BOY RIFLE POST 2010 BLACK","00113","Carlson","00113","18.5","10.18","","","1","","","723189001131","0.100","NO","15.99"
"28","HAMMER EXTENSIONS","CARLSONS HAMMER EXPANDER HENRY",".22 PUMP/LEVER RIFLE BLACK","00114","Carlson","00114","18.5","10.18","","","1","","","723189001148","0.100","NO","15.99"
"4","MAGAZINES (REPLACEMENT)","ANSCHUTZ MAGAZINE 22LR 5RD","BLUED STEEL","001153","Anschutz","001153","64.95","59.95","","","1","","","4046654011531","0.060","NO",""
