available,category,desc1,desc2,itemnumber,manufacturer,mfgpnumber,msrp,price1,price2,price3,qty1,qty2,qty3,upc,weight,serialized,mapprice
"12","LIGHTS AND ACCESSORIES","STREAMLIGHT STYLUS PRO USB","RECHARGEABLE UV PENLIGHT","66149","Streamlight","66149","108","48.75","","","1","","","080926661493","0.260","NO",""
"4","TRIGGERS","TIMNEY TRIGGER AR-15 3LB PULL","SKELETONIZED SMALL PIN","661S","Timney","661S","337.99","215.07","","","1","","","081950661237","0.470","NO","304.99"
"9","LIGHTS AND ACCESSORIES","STREAMLIGHT STYLUS PRO 360","PENLIGHT & LANTERN COMBO","66218","Streamlight","66218","50","24.50","","","1","","","080926662186","0.250","NO",""
"7","TRIGGERS","TIMNEY TRIGGER AR-15 2-STAGE","2+2LBS SHORT 1ST STAGE","662S","Timney","662S","267.99","169.05","","","1","","","081950662234","0.490","NO","241.99"
"0","LIGHTS AND ACCESSORIES","STREAMLIGHT MICROSTREAM LIGHT","WHITE LED BLACK W/POCKET CLIP","66318","Streamlight","66318","34","16.55","","","1","","","080926663183","0.150","NO",""
"9","LIGHTS AND ACCESSORIES","STREAMLIGHT MACROSTREAM LIGHT","WHITE LED BLACK USB CHARGEABLE","66320","Streamlight","66320","101","45.65","","","1","","","080926663206","0.250","NO",""
"9","MAGAZINES (REPLACEMENT)","FN MAGAZINE FNX-45 45ACP","10RD BLACK","663221","FN America","663221","59.99","43.00","","","1","","","845737002558","0.250","NO","54.99"
"3","MAGAZINES (REPLACEMENT)","FN MAGAZINE FNX-45 45ACP","10RD FLAT DARK EARTH","663222","FN America","663222","59.99","43.00","","","1","","","845737002565","0.270","NO","54.99"
"10","MAGAZINES (REPLACEMENT)","FN MAGAZINE FNX-45 45ACP","15RD BLACK","663225","FN America","663225","59.99","43.00","","","1","","","845737002541","0.280","NO","54.99"
"7","MAGAZINES (REPLACEMENT)","FN MAGAZINE FNX-45 45ACP","15RD FLAT DARK EARTH","663226","FN America","663226","59.99","43.00","","","1","","","845737002534","0.280","NO","54.99"
"42","MAGAZINES (REPLACEMENT)","FN MAGAZINE FNS-9 9MM 17RD","BLACK","663302","FN America","663302","59.99","43.00","","","1","","","845737001162","0.250","NO","54.99"
"10","MAGAZINES (REPLACEMENT)","FN MAGAZINE FNS-9 9MM 10RD","BLACK","663304","FN America","663304","59.99","43.00","","","1","","","845737001179","0.250","NO","54.99"
"8","SIGHTS GUN/BOW","WILLIAMS FIRE SIGHT SET FOR","MOSSBERG 500/835 SHOTGUNS","66370","Williams Gunsight Co.","66370","38.95","22.84","","","1","","","053506663705","0.070","NO",""
"0","TRIGGERS","TIMNEY TRIGGER AR-15 2-STAGE","2+2LBS LONG 1ST STAGE CURVED","663S","Timney","663S","267.99","169.38","","","1","","","081950663231","0.480","NO","241.99"
"21","MAGAZINES (REPLACEMENT)","FN MAGAZINE FNS-9C 9MM 12RD","BLACK","6647820","FN America","6647820","59.99","43.00","","","1","","","845737006051","0.250","NO","54.99"
"13","MAGAZINES (REPLACEMENT)","FN MAGAZINE FNS-40C 40SW 10RD","BLACK","6647822","FN America","6647822","59.99","43.00","","","1","","","845737006068","0.250","NO","54.99"
"1","ARCHERY ACCESSORIES","ALLEN WRIST SLING TENSION","HYPALON CAMO","6651","Allen","6651","12.99","7.55","","","1","","","026509045830","0.150","NO",""
"22","ARCHERY ACCESSORIES","ALLEN AUTOMATIC PEEP SIGHT","TUBE STYLE BLACK","6663","Allen","6663","6.99","4.13","","","1","","","026509066637","0.040","NO",""
"6","SIGHTS GUN/BOW","WILLIAMS FIRE SIGHT SET FOR","CVA MZZLDR W/OCTAGON BARREL","66653","Williams Gunsight Co.","66653","45.95","26.89","","","1","","","053506666539","0.090","NO",""
"0","SIGHTS GUN/BOW","WILLIAMS FIRE SIGHT SET FOR","T/C MZZLDR W/OCTAGON BARREL","66654","Williams Gunsight Co.","66654","45.95","26.89","","","1","","","053506666546","0.095","NO",""
"0","TRIGGERS","TIMNEY TRIGGER AR-15 3LB PULL","SOLID LARGE PIN","667L","Timney","667L","267.99","162.40","","","1","","","081950667222","0.100","NO","241.99"
"10","TRIGGERS","TIMNEY TRIGGER AR-15 3LB PULL","SOLID SMALL PIN","667S","Timney","667S","267.99","178.33","","","1","","","081950667239","0.480","NO","241.99"
"3","TRIGGERS","TIMNEY TRIGGER AR-15 3LB PULL","SOLID STRAIGHT SMALL PIN","667SST","Timney","667SST","267.99","187.75","","","1","","","081950667505","0.470","NO","241.99"
"5","TRIGGERS","TIMNEY TRIGGER AR-10 4LB PULL","SOLID SMALL PIN","670","Timney","670","310.99","217.87","","","1","","","081950670000","0.560","NO","279.99"
"0","GRIPS","HOGUE GRIPS TAURUS SMALL FRAME","REVOLVERS POST 1985","67000","Hogue","67000","34.95","19.19","","","1","","","743108670002","0.195","NO","29.71"
"2","CHOKE TUBES","CARLSONS CHOKE TUBE EXTENTED","TURKEY 12GA CRIO/CRIO+!","67002","Carlson","67002","65.5","31.99","","","1","","","723189670023","0.250","NO","58.49"
"3","GRIPS","HOGUE GRIPS TAURUS SMALL FRAME","PINK POST 1985 MFG","67007","Hogue","67007","34.95","19.19","","","1","","","743108670071","0.200","NO","29.71"
"3","CHOKE TUBES","CARLSONS CHOKE TUBE SPT CLAYS","12GA PORTED CYL CRIO/CRIO+","67030","Carlson","67030","73.95","45.62","","","1","","","723189670306","0.250","NO","62.99"
"2","CHOKE TUBES","CARLSONS CHOKE TUBE SPT CLAYS","12GA PORTED SKEET CRIO/CRIO+","67031","Carlson","67031","73.95","45.62","","","1","","","723189670313","0.250","NO","62.99"
"1","CHOKE TUBES","CARLSONS CHOKE TUBE SPT CLAYS","12GA PORTED IC CRIO/CRIO+","67032","Carlson","67032","73.95","45.62","","","1","","","723189670320","0.250","NO","62.99"
"3","CHOKE TUBES","CARLSONS CHOKE TUBE SPT CLAYS","12GA PORTED LT MOD CRIO/CRIO+","67033","Carlson","67033","73.95","45.62","","","1","","","723189670337","0.250","NO","62.99"
"3","CHOKE TUBES","CARLSONS CHOKE TUBE SPT CLAYS","12GA PORTED MOD CRIO/CRIO+","67034","Carlson","67034","73.95","45.84","","","1","","","723189670344","0.250","NO","62.99"
"2","CHOKE TUBES","CARLSONS CHOKE TUBE SPT CLAYS","12GA PORTED IMP MOD CRIO/CRIO+","67035","Carlson","67035","73.95","45.84","","","1","","","723189670351","0.250","NO","62.99"
"2","CHOKE TUBES","CARLSONS CHOKE TUBE SPT CLAYS","12GA PORTED FULL CRIO/CRIO+","67036","Carlson","67036","73.95","45.84","","","1","","","723189670368","0.250","NO","62.99"
"3","CHOKE TUBES","CARLSONS CHOKE TUBE EXTENTED","TURKEY 12GA PORTED CRIO/CRIO+","67099","Carlson","67099","68.5","41.74","","","1","","","723189670993","0.250","NO","58.49"
"0","TRIGGERS","TIMNEY TRIGGER AR-10 4LB PULL","SKELETONIZED SMALL PIN","671","Timney","671","374.99","262.71","","","1","","","081950671007","0.500","NO","337.99"
"1","KNIVES AND RELATED ITEMS","CRKT STICKLER 3.38"" FOLDER","ASSISTED SS/BLUE HANDLE","6710","CRKT Knives","6710","99.99","48.00","","","1","","","794023671001","0.200","NO","99.99"
"4","LIGHTS AND ACCESSORIES","STREAMLIGHT PRO-POLYMER 2AA","WHITE LED W/BATTERIES BLACK","67100","Streamlight","67100","40","18.95","","","1","","","080926671003","2.000","NO",""
"25","MAGAZINE ACCESSORIES","FN MAGAZINE SLEEVE BLACK","FOR FNS-9C AND FNS-40C","67198","FN America","67198","15.99","10.00","","","1","","","845737006075","0.100","NO","13.99"
"2","MAGAZINE ACCESSORIES","FN MAGAZINE COMPACT GRIP","EXTENSION FNS-9C AND FNS-40C","67199","FN America","67199","10.99","8.00","","","1","","","845737006082","0.060","NO","9.99"
"3","TOOLS","FRANKFORD ARSENAL ECONOMY","ELECTRONIC CALIPER","672060","Frankford Arsenal","672060","35.99","22.41","","","1","","","661120720607","0.900","NO",""
"5","TOOLS","WHEELER UNIVERSAL BENCH BLOCK","NON-MARRING URETHANE","672215","Wheeler","672215","19.99","16.99","","","1","","","661120188278","0.550","NO",""
"5","TOOLS","WHEELER UNIVERSAL BARREL CLAMP","","672286","Wheeler","672286","54.99","35.00","","","1","","","661120722861","1.900","NO",""
"23","ARCHERY ACCESSORIES","ALLEN RAIL LUBE/STRING WAX","COMBO CROSSBOW","673","Allen","673","5.99","3.67","","","1","","","026509034803","0.100","NO",""
"14","GIFTS","RIVERS EDGE CRAPPIE SANDALS","ADULT LARGE  SIZE 11/12","673AL","Rivers Edge","673AL","14.99","10.25","","","1","","","643323967324","1.420","NO",""
"0","GIFTS","RIVERS EDGE CRAPPIE SANDALS","ADULT MEDIUM SIZE 10/10.5","673AM","Rivers Edge","673AM","14.99","10.25","","","1","","","643323096734","1.280","NO",""
"8","ARCHERY ACCESSORIES","ALLEN BOWSTRING WAX 1EA","","674","Allen","674","5.49","3.38","","","1","","","026509006749","0.100","NO",""
"0","ARCHERY ACCESSORIES","ALLEN RAIL LUBE CROSSBOW 1EA","","676","Allen","676","5.49","3.35","","","1","","","026509006763","0.050","NO",""
"4","SIGHTS GUN/BOW","WILLIAMS ADJ GHOST RING FO SET","RUGER MK IIIIIIV BULL BBL","676043","Williams Gunsight Co.","676043","81.95","50.11","","","1","","","053506760435","0.100","NO",""
"19","SIGHTS GUN/BOW","WILLIAMS WESTERN PRECISION SRS","STD INLINE SET CVA/TC/TRDITNS","676584","Williams Gunsight Co.","676584","124.95","76.02","","","1","","","053506765843","0.150","NO","109.95"
"2","TRIGGERS","TIMNEY TRIGGER IWI TAVOR","4LBS PULL 2 STAGE SOLID","680","Timney","680","460.99","213.88","","","1","","","081950680009","0.610","NO","414.99"
"2","TRIGGERS","TIMNEY TRIGGER SIG MPX SINGLE","STAGE STRAIGHT SHOE 3LB","681ST","Timney","681ST","267.99","187.75","","","1","","","081950681174","0.500","NO","241.99"
"2","SIGHTS GUN/BOW","WILLIAMS ADJ GHOST RING FO SET","RUGER MK IIIIIIV 22/45 LITE","682194","Williams Gunsight Co.","682194","81.95","50.11","","","1","","","053506821945","0.100","NO",""
"0","TRIGGERS","TIMNEY TRIGGER SIG MPX SINGLE","STAGE STRAIGHT SHOE 4.5LB","683","Timney","683","267.99","187.75","","","1","","","081950683000","0.510","NO","241.99"
"9","LIGHTS AND ACCESSORIES","STREAMLIGHT PRO-POLYMER 4AA","WHITE 7-LED'S BLACK FINISH","68302","Streamlight","68302","53","22.95","","","1","","","080926683020","0.550","NO",""
"6","CALLS AND CALLERS","PRIMOS STRIKER KIT 3-PACK FOR","POT STYLE TURKEY CALL","687","Primos","687","23.95","13.03","","","1","","","010135006877","0.300","NO",""
"4","KNIVES AND RELATED ITEMS","CRKT IGNITOR SILVER 3.48"" PLN","EDGE ASSTD OPENING SATIN/G10","6880","CRKT Knives","6880","84.99","39.10","","","1","","","794023688009","0.250","NO","84.99"
"1","KNIVES AND RELATED ITEMS","CRKT IGNITOR BLACK 3.48"" PLN","EDGE ASSTD OPENING SATIN/G10","6885","CRKT Knives","6885","84.99","39.10","","","1","","","794023688504","0.250","NO","84.99"
"0","HOLSTERS AND RELATED ITEMS","FOBUS MAG POUCH DOUBLE FOR","GLOCK 9MM/40 PADDLE STYLE","6900NDP","Fobus","6900NDP","38.99","21.50","","","1","","","676315035305","0.400","NO",""
"7","CASES GUN/BOW","ALLEN GUN CASE CENTENNIAL 52""","SHOTGUN NYLON RWB/BLK","69052","Allen","69052","40.99","27.04","","","1","","","026509018834","1.500","NO",""
"7","DECOYS AND ACCESSORIES","PRIMOS TURKEY DECOY PHOTOFORM","HEN<","69068","Primos","69068","94.95","54.99","","","1","","","010135690687","1.500","NO",""
"6","DECOYS AND ACCESSORIES","PRIMOS TURKEY DECOY PHOTOFORM","JAKE<","69069","Primos","69069","108.95","60.99","","","1","","","010135690694","4.050","NO",""
"4","DECOYS AND ACCESSORIES","PRIMOS TURKEY DECOY PHOTOFORM","LEADING HEN<","69070","Primos","69070","98.95","57.99","","","1","","","010135002794","1.500","NO",""
"22","DECOYS AND ACCESSORIES","PRIMOS TURKEY DECOY LIL","GOBBSTOPPER HEN","69073","Primos","69073","42.95","29.95","","","1","","","010135690731","1.290","NO",""
"19","DECOYS AND ACCESSORIES","PRIMOS TURKEY DECOY LIL","GOBBSTOPPER JAKE","69074","Primos","69074","54.95","38.22","","","1","","","010135690748","2.000","NO",""
"19","DECOYS AND ACCESSORIES","PRIMOS TURKEY DECOY LIL","GOBBSTOPPER JAKE/HEN COMBO","69075","Primos","69075","84.95","59.46","","","1","","","010135690755","2.880","NO",""
"0","HOLSTERS AND RELATED ITEMS","FOBUS DBL MAG POUCH BELT STYLE","FOR SIG/BERETTA/HP","6909NDBH","Fobus","6909NDBH","38.99","21.50","","","1","","","676315033318","0.210","NO",""
"0","HOLSTERS AND RELATED ITEMS","FOBUS MAG POUCH DOUBLE FOR","9MM/.40SW PADDLE","6909NDP","Fobus","6909NDP","38.99","21.50","","","1","","","676315033301","0.300","NO",""
"14","LIGHTS AND ACCESSORIES","STREAMLIGHT TLR-1 LED LIGHT","W/RAIL MOUNT 3-WATT WHITE LED","69110","Streamlight","69110","247","112.75","","","1","","","080926691100","0.440","NO",""
"2","LIGHTS AND ACCESSORIES","STREAMLIGHT TLR-2 LIGHT/LASER","RAIL MOUNT 3-WATT LED W/LASER","69120","Streamlight","69120","616","278.25","","","1","","","080926691209","0.480","NO",""
"11","LIGHTS AND ACCESSORIES","STREAMLIGHT REMOTE DOOR","SWITCH ASSY TLR 1 & 2","69130","Streamlight","69130","66","34.85","","","1","","","080926691308","0.050","NO",""
"3","LIGHTS AND ACCESSORIES","STREAMLIGHT REMOTE PRESSURE","SWITCH PLUG COIL TLR 1 & 2","69134","Streamlight","69134","53","28.35","","","1","","","080926691346","0.100","NO",""
"7","LIGHTS AND ACCESSORIES","STREAMLIGHT REMOTE PRESSURE","SWITCH PLUG STRAIGHT TLR 1 & 2","69135","Streamlight","69135","53","28.35","","","1","","","080926691353","0.100","NO",""
"2","LIGHTS AND ACCESSORIES","STREAMLIGHT DUAL REMOTE","PRESSURE SWITCH TLR 1&2 SERIES","69138","Streamlight","69138","85","44.75","","","1","","","080926691384","0.100","NO",""
"0","CASES GUN/BOW","ALLEN GUN CASE CENTENNIAL 46""","46"" RIFLE SCOPED NYLON RWB/BLK","69146","Allen","69146","40.99","27.04","","","1","","","026509691464","3.150","NO",""
"2","LIGHTS AND ACCESSORIES","STREAMLIGHT TLR VIR II RAIL","MOUNTED IR ILLUMINATOR BLACK","69192","Streamlight","69192","674","299.65","","","1","","","080926691926","0.360","NO",""
"1","TRIGGERS","TIMNEY TRIGGER FN SCAR-17","3.5LBS PULL SOLID","691S","Timney","691S","438.99","304.83","","","1","","","081950691234","0.300","NO","395.99"
"4","LIGHTS AND ACCESSORIES","STREAMLIGHT TLR-1 STROBE LIGHT","RAIL MOUNT 3-WATT LED","69210","Streamlight","69210","254","114.95","","","1","","","080926692107","0.450","NO",""
"2","LIGHTS AND ACCESSORIES","STREAMLIGHT TLR-1S HP LONG","RANGE RAIL STROBING TACT-LIGHT","69215","Streamlight","69215","274","123.95","","","1","","","080926692152","0.600","NO",""
"4","LIGHTS AND ACCESSORIES","STREAMLIGHT TLR-3 LIGHT","WHITE LED RAIL MOUNT BLACK","69220","Streamlight","69220","172.26","77.85","","","1","","","080926692206","0.350","NO",""
"1","LIGHTS AND ACCESSORIES","STREAMLIGHT TLR-2S STROBE","WHITE LED LIGHT W/RAIL MOUNT","69230","Streamlight","69230","623","280.95","","","1","","","080926692305","0.500","NO",""
"6","LIGHTS AND ACCESSORIES","STREAMLIGHT TLR-4 LIGHT/LASER","WHITE LED/RED LASER RAIL MOUNT","69240","Streamlight","69240","275","122.65","","","1","","","080926692404","0.350","NO",""
"5","LIGHTS AND ACCESSORIES","STREAMLIGHT TLR-4G LIGHT/LASER","WHITE LED/GREEN LASER RAIL MNT","69245","Streamlight","69245","490","220.50","","","1","","","080926692459","0.330","NO",""
"20","LIGHTS AND ACCESSORIES","STREAMLIGHT TLR-1 HL LED LIGHT","W/RAIL MOUNT C4 WHITE LED","69260","Streamlight","69260","292","133.25","","","1","","","080926692602","0.450","NO",""
"5","LIGHTS AND ACCESSORIES","STREAMLIGHT TLR-2 HL LED LIGHT","WITH LASER RAIL MOUNTED","69261","Streamlight","69261","655","295.45","","","1","","","080926692619","0.500","NO",""
"3","LIGHTS AND ACCESSORIES","STREAMLIGHT TLR-2 HL G LED","LIGHT WITH GREEN LASER","69265","Streamlight","69265","712","320.50","","","1","","","080926692657","0.490","NO",""
"7","LIGHTS AND ACCESSORIES","STREAMLIGHT TLR-1 HL C4 WHITE","LED LIGHT W/RAIL FDE BROWN","69267","Streamlight","69267","305","137.75","","","1","","","080926692671","0.460","NO",""
"7","LIGHTS AND ACCESSORIES","STREAMLIGHT TLR-6 LIGHT/LASER","LED/RED LASER FOR GLOCK 42","69270","Streamlight","69270","210","94.95","","","1","","","080926692701","0.200","NO",""
"5","LIGHTS AND ACCESSORIES","STREAMLIGHT TLR-6 WHITE LED","/RED LASER FOR GLOCK 26/27/33","69272","Streamlight","69272","210","94.95","","","1","","","080926692725","0.200","NO",""
"5","LIGHTS AND ACCESSORIES","STREAMLIGHT TLR-6 LED LIGHT","/RED LASER M&P SHIELD 9/40","69273","Streamlight","69273","210","94.95","","","1","","","080926692732","0.200","NO",""
"1","LIGHTS AND ACCESSORIES","STREAMLIGHT TLR-6 WHITE LED","LIGHT/RED LASER SIG P238/P938","69275","Streamlight","69275","210","94.95","","","1","","","080926692756","0.200","NO",""
"3","LIGHTS AND ACCESSORIES","STREAMLIGHT TLR-6 WHITE LED","LIGHT/RED LASER KIMBER MICRO","69276","Streamlight","69276","210","94.95","","","1","","","080926692763","0.200","NO",""
"3","LIGHTS AND ACCESSORIES","STREAMLIGHT TLR-6 LIGHT/LASER","FOR GLOCK 42/43 FDE BROWN","69278","Streamlight","69278","222","100.45","","","1","","","080926692787","0.200","NO",""
"2","LIGHTS AND ACCESSORIES","STREAMLIGHT TLR-6 LIGHT/LASER","WHITE LED/RED LASER 1911 STYLE","69279","Streamlight","69279","210","94.95","","","1","","","080926692794","0.200","NO",""
"9","LIGHTS AND ACCESSORIES","STREAMLIGHT TLR-6 LED LIGHT","ONLY FOR GLOCK 42/43 NO LASER","69280","Streamlight","69280","150","65.45","","","1","","","080926692800","0.250","NO",""
"1","LIGHTS AND ACCESSORIES","STREAMLIGHT TLR-6 LED LIGHT","FOR GLOCK 26/27/33 NO LASER","69282","Streamlight","69282","150","66.55","","","1","","","080926692824","0.250","NO",""
"6","LIGHTS AND ACCESSORIES","STREAMLIGHT TLR-6 LED LIGHT","ONLY S&W M&P SHIELD NO LASER","69283","Streamlight","69283","150","66.55","","","1","","","080926692831","0.200","NO",""
"2","LIGHTS AND ACCESSORIES","STREAMLIGHT TLR-6 LIGHT/LASER","WHITE LED/RED LASER SIG P365","69284","Streamlight","69284","210","94.95","","","1","","","080926692848","0.200","NO",""
"1","LIGHTS AND ACCESSORIES","STREAMLIGHT TLR-6 LED LIGHT","ONLY SIG P365/XL NO LASER","69285","Streamlight","69285","150","66.55","","","1","","","080926692855","0.190","NO",""
"8","LIGHTS AND ACCESSORIES","STREAMLIGHT TLR-6 FOR GLOCK 48","43X LED LIGHT/RED LASER BLACK","69286","Streamlight","69286","210","94.95","","","1","","","080926692862","0.190","NO",""
"6","LIGHTS AND ACCESSORIES","STREAMLIGHT TLR-6 SA HELLCAT","LED LIGHT/RED LASER BLACK","69287","Streamlight","69287","210","94.95","","","1","","","080926692879","0.200","NO",""
"1","LIGHTS AND ACCESSORIES","STREAMLIGHT TLR-6 TAURUS GX4","LED LIGHT/RED LASER BLACK","69288","Streamlight","69288","210","94.95","","","1","","","080926692886","0.200","NO",""
"0","LIGHTS AND ACCESSORIES","STREAMLIGHT TLR-6 LED LIGHT","ONLY 1911 STYLE NO LASER","69289","Streamlight","69289","150","66.55","","","1","","","080926692893","0.250","NO",""
"2","LIGHTS AND ACCESSORIES","STREAMLIGHT TLR-6 RAIL FOR","GLOCK LED LIGHT/RED LASER","69290","Streamlight","69290","210","94.95","","","1","","","080926692909","0.200","NO",""
"3","LIGHTS AND ACCESSORIES","STREAMLIGHT TLR-6 RAIL SPRING","FIELD XD LED LIGHT/RED LASER","69291","Streamlight","69291","210","94.95","","","1","","","080926692916","0.200","NO",""
"6","LIGHTS AND ACCESSORIES","STREAMLIGHT TLR-6 RAIL S&W","M&P LED LIGHT/RED LASER","69293","Streamlight","69293","210","94.95","","","1","","","080926692930","0.200","NO",""
"15","LIGHTS AND ACCESSORIES","STREAMLIGHT TLR-6 RM LED LIGHT","FOR GLOCK WITH RAILS NO LASER","69294","Streamlight","69294","150","66.55","","","1","","","080926692947","0.250","NO",""
"3","LIGHTS AND ACCESSORIES","STREAMLIGHT TLR-6 RM LED LIGHT","ONLY S&W M&P W/RAILS NO LASER","69297","Streamlight","69297","150","66.55","","","1","","","080926692978","0.250","NO",""
"2","LIGHTS AND ACCESSORIES","STREAMLIGHT TLR-6 HL LIGHT","LED/RED LASER FOR GLOCK 42/43","69340","Streamlight","69340","230","103.95","","","1","","","080926693401","0.400","NO",""
"3","LIGHTS AND ACCESSORIES","STREAMLIGHT TLR-6 HL FDE LIGHT","LED/RED LASER FOR GLOCK 42/43","69341","Streamlight","69341","230","103.95","","","1","","","080926693418","0.400","NO",""
"2","LIGHTS AND ACCESSORIES","STREAMLIGHT TLR-6 HL LIGHT","LED/RED LASER M&P SHIELD 40/9","69342","Streamlight","69342","230","103.95","","","1","","","080926693425","0.400","NO",""
"5","LIGHTS AND ACCESSORIES","STREAMLIGHT TLR-6 HL LIGHT","LED/RED LASER FOR GLOCK RAIL","69343","Streamlight","69343","230","103.95","","","1","","","080926693432","0.400","NO",""
"1","LIGHTS AND ACCESSORIES","STREAMLIGHT TLR-6 HL LIGHT","LED/RED LASER FOR SIG P365","69344","Streamlight","69344","230","103.95","","","1","","","080926693449","0.400","NO",""
"7","LIGHTS AND ACCESSORIES","STREAMLIGHT TLR-6 HL LIGHT LED","/GREEN LASER FOR GLOCK 42/43","69350","Streamlight","69350","280","126.50","","","1","","","080926693500","0.400","NO",""
"4","LIGHTS AND ACCESSORIES","STREAMLIGHT TLR-6 HL FDE LIGHT","LED/GRN LASER FOR GLOCK 42/43","69351","Streamlight","69351","280","126.50","","","1","","","080926693517","0.400","NO",""
"3","LIGHTS AND ACCESSORIES","STREAMLIGHT TLR-6 HL LIGHT LED","/GREEN LASER M&P SHIELD 40/9","69352","Streamlight","69352","280","126.50","","","1","","","080926693524","0.400","NO",""
"10","LIGHTS AND ACCESSORIES","STREAMLIGHT TLR-6 HL LIGHT LED","/GREEN LASER FOR GLOCK RAIL","69353","Streamlight","69353","280","126.50","","","1","","","080926693531","0.400","NO",""
"6","LIGHTS AND ACCESSORIES","STREAMLIGHT TLR-6 HL LIGHT","LED/GREEN LASER FOR SIG P365","69354","Streamlight","69354","280","126.50","","","1","","","080926693548","0.400","NO",""
"2","HOLSTERS AND RELATED ITEMS","FOBUS MAG POUCH DOUBLE FOR","GLOCK 36 PADDLE STYLE","6936GNDP","Fobus","6936GNDP","32.99","21.50","","","1","","","676315035473","0.450","NO",""
"8","LIGHTS AND ACCESSORIES","STREAMLIGHT TLR-7X SUB LIGHT","W/RAIL MOUNT FOR GLOCK 43X/48","69400","Streamlight","69400","254","114.65","","","1","","","080926694002","0.300","NO",""
"0","LIGHTS AND ACCESSORIES","STREAMLIGHT TLR-7X SUB LIGHT","W/RAIL MOUNT SIG P365/XL","69401","Streamlight","69401","254","114.65","","","1","","","080926694019","0.300","NO",""
"0","LIGHTS AND ACCESSORIES","STREAMLIGHT TLR-7X SUB LIGHT","W/RAIL MOUNT 1913 SHORT MODELS","69402","Streamlight","69402","254","114.65","","","1","","","080926694026","0.300","NO",""
"4","LIGHTS AND ACCESSORIES","STREAMLIGHT TLR-7X SUB LIGHT","W/SA HELLCAT JAW MOUNTING KEY","69404","Streamlight","69404","254","114.65","","","1","","","080926694040","0.290","NO",""
"1","LIGHTS AND ACCESSORIES","STREAMLIGHT TLR-7XSUB USB SLB9","W/RAIL MOUNT FOR GLOCK 43X/48","69405","Streamlight","69405","265","119.95","","","1","","","080926694057","0.330","NO",""
"9","LIGHTS AND ACCESSORIES","STREAMLIGHT TLR-7XSUB USB SLB9","W/RAIL MOUNT SIG P365/XL","69406","Streamlight","69406","265","119.95","","","1","","","080926694064","0.350","NO",""
"2","LIGHTS AND ACCESSORIES","STREAMLIGHT TLR-7XSUB USB SLB9","W/RAIL MOUNT 1913 SHORT MODELS","69407","Streamlight","69407","265","119.95","","","1","","","080926694071","0.345","NO",""
"3","LIGHTS AND ACCESSORIES","STREAMLIGHT TLR-7XSUB USB SLB9","W/SA HELLCAT JAW MOUNTING KEY","69408","Streamlight","69408","265","119.95","","","1","","","080926694088","0.350","NO",""
"2","CHOKE TUBES","PRIMOS CHOKE TUBE JELLY HEAD","TSS 12GA REM CHOKE","69414","Primos","69414","87.95","49.04","","","1","","","010135694142","0.200","NO",""
"1","CHOKE TUBES","PRIMOS CHOKE TUBE JELLY HEAD","TSS 12GA INVECTOR!","69415","Primos","69415","87.95","47.49","","","1","","","010135694159","0.200","NO",""
"1","CHOKE TUBES","PRIMOS CHOKE TUBE JELLY HEAD","TSS 20GA REM CHOKE!","69418","Primos","69418","87.95","46.99","","","1","","","010135694180","0.200","NO",""
"3","CHOKE TUBES","PRIMOS CHOKE TUBE JELLY HEAD","TSS .410GA REM CHOKE","69423","Primos","69423","87.95","49.04","","","1","","","010135694234","0.100","NO",""
"18","LIGHTS AND ACCESSORIES","STREAMLIGHT TLR-7X FLEX LIGHT","W/RAIL MOUNT C4 WHITE LED","69424","Streamlight","69424","254","114.95","","","1","","","080926694248","0.350","NO",""
"0","CHOKE TUBES","PRIMOS CHOKE TUBE JELLY HEAD","TSS .410GA MOBILE CHOKE","69424P","Primos","69424","87.95","49.04","","","1","","","010135694241","0.100","NO",""
"7","LIGHTS AND ACCESSORIES","STREAMLIGHT TLR-7X GEN 4 AND 5","FITS GLOCK CONTOUR REMOTE LED","69428","Streamlight","69428","280","126.95","","","1","","","080926694286","0.350","NO",""
"13","LIGHTS AND ACCESSORIES","STREAMLIGHT TLR-7X FDE FLEX","LIGHT W/RAILMOUNT C4 WHITE LED","69429","Streamlight","69429","267","118.65","","","1","","","080926694293","0.340","NO",""
"2","LIGHTS AND ACCESSORIES","STREAMLIGHT TLR-8AG FLEX GREEN","LASER C4 LED LIGHT & RAILMOUNT","69434","Streamlight","69434","505","228.95","","","1","","","080926694347","0.350","NO",""
"0","LIGHTS AND ACCESSORIES","STREAMLIGHT TLR RM 1 LED LIGHT","W/RAIL MOUNT W/ REMOTE SWITCH","69440","Streamlight","69440","286","129.45","","","1","","","080926694408","0.400","NO",""
"4","LIGHTS AND ACCESSORIES","STREAMLIGHT TLR RM 1 LED LIGHT","W/RAIL MOUNT C4 WHITE LED","69441","Streamlight","69441","236","106.85","","","1","","","080926694415","2.250","NO",""
"6","LIGHTS AND ACCESSORIES","STREAMLIGHT TLR RM 1 LED GREEN","LASER RAIL MOUNT/REMOTE SWITCH","69443","Streamlight","69443","550","248.55","","","1","","","080926694439","0.450","NO",""
"1","LIGHTS AND ACCESSORIES","STREAMLIGHT TLR RM 1 LED WITH","GREEN LASER RAIL MOUNT BLACK","69444","Streamlight","69444","505","228.55","","","1","","","080926694446","0.350","NO",""
