itemnumber,available,price1,price2,price3,qty1,qty2,qty3
01MSPEC762NITBC,0,"177.25","","","1","",""
01UP556CP,0,"21.07","","","1","",""
01UP556NITEBCG,0,"196.55","","","1","",""
01UP556TINEBCG,0,"237.50","","","1","",""
01UP6ARCFPIN,0,"20.24","","","1","",""
01UP6ARCNITBA,0,"83.63","","","1","",""
01UP6ARCNITEBCG,0,"216.74","","","1","",""
01UP762CPH,0,"21.07","","","1","",""
01UP762NITEBCG,0,"258.71","","","1","",""
02000,80,"3.05","","","1","",""
02001Z,0,"3.05","","","1","",""
02002,2,"4.04","","","1","",""
02019,3,"5.06","","","1","",""
021BJP6Z0,1,"22.13","","","1","",""
022686,5,"10.75","","","1","",""
022808,5,"8.52","","","1","",""
023BADAZ0,3,"37.08","","","1","",""
023BASAZ0,2,"37.08","","","1","",""
023TADAZ0,2,"37.08","","","1","",""
023TASAZ0,3,"37.08","","","1","",""
02455,13,"6.31","","","1","",""
02470,2,"18.91","","","1","",""
02474,4,"18.91","","","1","",""
02475,0,"18.91","","","1","",""
02478,1,"18.91","","","1","",""
02479,0,"18.91","","","1","",""
02480,0,"18.91","","","1","",""
02482,0,"18.91","","","1","",""
02483,5,"18.91","","","1","",""
02484,0,"18.91","","","1","",""
02500,1,"31.26","","","1","",""
02513,6,"28.66","","","1","",""
02521,0,"28.66","","","1","",""
02523,0,"28.66","","","1","",""
02528,3,"28.66","","","1","",""
02545,4,"27.24","","","1","",""
02601,44,"8.44","","","1","",""
02605,47,"14.63","","","1","",""
02606,8,"8.44","","","1","",""
02616,51,"14.63","","","1","",""
02650,0,"20.06","","","1","",""
02652,7,"20.06","","","1","",""
02654,6,"20.06","","","1","",""
028BA8BZ0,1,"55.34","","","1","",""
028BAE1Z0,1,"55.34","","","1","",""
029027,0,"29.98","","","1","",""
029032,0,"30.95","","","1","",""
02919,3,"26.94","","","1","",""
02921,0,"26.94","","","1","",""
02937,0,"8.02","","","1","",""
02941,19,"17.99","","","1","",""
02948,0,"5.49","","","1","",""
02949,0,"7.44","","","1","",""
02953,0,"11.19","","","1","",""
030064,1,"41.15","","","1","",""
03054,15,"28.66","","","1","",""
03058,8,"28.66","","","1","",""
03061,16,"28.66","","","1","",""
031105,0,"6.48","","","1","",""
03137,1,"28.66","","","1","",""
03140,4,"28.66","","","1","",""
03175,3,"28.66","","","1","",""
031BA02Z0,2,"23.24","","","1","",""
031BA5EZ0,0,"23.24","","","1","",""
031BA74Z0,2,"23.24","","","1","",""
031BA77Z0,3,"23.24","","","1","",""
031BA79Z0,0,"23.24","","","1","",""
031BA7FZ0,1,"23.24","","","1","",""
031BA80Z0,0,"23.24","","","1","",""
031BA85Z0,2,"23.24","","","1","",""
